taxonID	identifier	title	format	datasetID	subject
urn:lsid:marinespecies.org:taxname:1137	NCBI:txid27412	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1139	NCBI:txid75402	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1195	NCBI:txid155698	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1205	NCBI:txid44328	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1206	NCBI:txid116670	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1249	NCBI:txid140493	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1250	NCBI:txid1919246	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1251	NCBI:txid50341	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1261	NCBI:txid37538	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1267	NCBI:txid6073	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1268	NCBI:txid6433	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1269	NCBI:txid6427	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1271	NCBI:txid43120	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1274	NCBI:txid6843	To GenBank (0 nucleotides; 28 proteins)		ncbi	
urn:lsid:marinespecies.org:taxname:1276	NCBI:txid42241	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1277	NCBI:txid61985	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1278	NCBI:txid6960	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1292	NCBI:txid6101	To GenBank (10 nucleotides; 0 proteins)		ncbi	
urn:lsid:marinespecies.org:taxname:1293	NCBI:txid6218	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1294	NCBI:txid6225	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1295	NCBI:txid216209	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1296	NCBI:txid216208	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1298	NCBI:txid41324	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1300	NCBI:txid6854	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1302	NCBI:txid57294	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1304	NCBI:txid7540	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1307	NCBI:txid50557	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1316	NCBI:txid41165	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1317	NCBI:txid318493	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1321	NCBI:txid242543	To Genbank		ncbi	
