2590966	2590966
13676	13676
99342	99342
99346	99346
1519994	1519994
436885	436885
1076264	1076264
123230	123230
473332	473332
94934	94934
319445	319445
319750	319750
72114	72114
1317704	1317704
874434	874434
52273	52273
320400	320400
214485	214485
72055	72055
72056	72056
72057	72057
72058	72058
72059	72059
394687	394687
72060	72060
72062	72062
72063	72063
72064	72064
394688	394688
72065	72065
72066	72066
72067	72067
394690	394690
2603974	2603974
72069	72069
72070	72070
72071	72071
72072	72072
72073	72073
72074	72074
72076	72076
72077	72077
72078	72078
72079	72079
72080	72080
72081	72081
72082	72082
72083	72083
394693	394693
72084	72084
72085	72085
394694	394694
394695	394695
72086	72086
72087	72087
394697	394697
72088	72088
394698	394698
72089	72089
72090	72090
72092	72092
72093	72093
394701	394701
72094	72094
394702	394702
394703	394703
72095	72095
394704	394704
72096	72096
72097	72097
72098	72098
72099	72099
394705	394705
72100	72100
72101	72101
320568	320568
72102	72102
201707	201707
72103	72103
72105	72105
394707	394707
72106	72106
72107	72107
72108	72108
72110	72110
8110	8110
146146	146146
179364	179364
179368	179368
302047	302047
302047	1841481
173321	173321
515231	515231
1955183	1955183
237562	237562
557366	557366
290102	290102
91969	91969
91970	91970
48457	48457
305516	305516
557426	557426
168377	168377
1329245	1329245
875779	875779
55125	55125
740708	740708
55127	55127
7823	7823
7824	7824
7824	7825
7824	40579
195335	195335
443727	443727
260508	260508
7798	7798
170825	170825
1350521	1350521
1268096	1268096
283639	283639
87100	87100
319772	319772
91658	91658
123240	123240
184449	184449
81873	81873
81875	81875
320404	320404
980344	980344
320411	320411
129062	129062
409996	409996
509852	509852
882189	882189
123339	123339
319542	319542
2039247	2039247
1812872	1812872
875780	875780
740936	740936
362380	362380
320413	320413
2576040	2576040
350043	350043
320414	320414
320415	320415
123249	123249
885019	885019
2420062	2420062
319451	319451
492049	492049
302046	302046
443728	443728
91660	91660
1051621	1051621
316150	316150
13720	13720
7787	7787
239048	239048
240832	240832
8235	8235
8236	8236
8241	8241
8238	8238
875781	875781
173332	173332
320416	320416
271940	271940
30493	30493
13733	13733
13733	487156
209541	209541
88147	88147
55553	55553
55557	55557
433386	433386
433391	433391
242287	242287
123243	123243
129077	129077
129077	129078
166768	166768
320399	320399
173317	173317
40664	40664
86675	86675
1213718	1213718
882895	882895
1232747	1232747
2048766	2048766
875782	875782
270541	270541
473336	473336
1508059	1508059
480301	480301
274780	274780
299564	299564
2587261	2587261
2048767	2048767
8245	8245
283024	283024
283031	283031
195660	195660
100204	100204
412627	412627
335010	335010
274743	274743
283621	283621
320590	320590
540279	540279
94939	94939
740938	740938
143325	143325
