Family,ScientificName,ScientificNameAuthorship,CommonName,Notes,TaxonId
AMMOTHEIDAE,"Achelia alaskensis","(Cole, 1904)",,,115558
AMMOTHEIDAE,"Achelia chelata",,,,92528
AMMOTHEIDAE,"Achelia echinata",,,,92534
AMMOTHEIDAE,"Achelia gracilipes",,,,92532
AMMOTHEIDAE,"Achelia latifrons","(Cole, 1904)",,,234362
AMMOTHEIDAE,"Achelia nudiuscula",,,,92531
AMMOTHEIDAE,"Achelia simplissima","(Hilton, 1939)",,,235652
AMMOTHEIDAE,"Achelia spinoseta",,,,92533
AMMOTHEIDAE,"Ammothea gracilipes",,,,92524
AMMOTHEIDAE,"Ammothea hilgendorfi",,,,92527
AMMOTHEIDAE,"Ammothella biunguiculata","(Dohrn, 1881)",,,115832
AMMOTHEIDAE,"Ammothella menziesi","Hedgpeth, 1951",,,235664
AMMOTHEIDAE,"Ammothella setosa",,,,92539
AMMOTHEIDAE,"Ammothella spinifera",,,,92538
AMMOTHEIDAE,"Ammothella tuberculata",,,,92537
AMMOTHEIDAE,"Ascorhynchus japonicus","Ives, 1891",,,116258
AMMOTHEIDAE,"Eurycyde spinosa","Hilton, 1916",,,92550
AMMOTHEIDAE,"Lecythorhynchus marginatus",,,,92546
AMMOTHEIDAE,"Nymphopsis spinosissima",,,,92551
AMNICOLIDAE,"Colligyrus convexus","Hershler, Frest, H.-P. Liu & Johannes, 2003",,,244598
AMPELISCIDAE,"Ampelisca abdita","Mills, 1964",,,58658
AMPELISCIDAE,"Ampelisca agassizi","(Judd, 1896)",,,58661
AMPELISCIDAE,"Ampelisca brevisimulata","J. L. Barnard, 1954",,,58675
AMPELISCIDAE,"Ampelisca careyi","Dickinson, 1982",,,58685
AMPELISCIDAE,"Ampelisca coeca","Holmes, 1908",,,45871
AMPELISCIDAE,"Ampelisca cristata","Holmes, 1908",,,58662
AMPELISCIDAE,"Ampelisca eoa","Gurjanova, 1951",,,58654
AMPELISCIDAE,"Ampelisca eschrichtii","Krøyer, 1842",,,166515
AMPELISCIDAE,"Ampelisca furcigera","Bulycheva, 1936",,,58656
AMPELISCIDAE,"Ampelisca hancocki","J. L. Barnard, 1954",,,58663
AMPELISCIDAE,"Ampelisca indentata","J. L. Barnard, 1954",,,58676
AMPELISCIDAE,"Ampelisca lobata","Holmes, 1908",,,58684
AMPELISCIDAE,"Ampelisca macrocephala","Lilljeborg, 1852",,,58651
AMPELISCIDAE,"Ampelisca milleri","J. L. Barnard, 1954",,,58677
AMPELISCIDAE,"Ampelisca pacifica","Holmes, 1908",,,58678
AMPELISCIDAE,"Ampelisca plumosa","Holmes, 1908",,,45932
AMPELISCIDAE,"Ampelisca pugetica","Stimpson, 1864",,,58664
AMPELISCIDAE,"Ampelisca romigi","J. L. Barnard, 1954",,,58680
AMPELISCIDAE,"Ampelisca shoemakeri","J. L. Barnard, 1954",,,58681
AMPELISCIDAE,"Ampelisca unsocalae","J. L. Barnard, 1960",,,58682
AMPELISCIDAE,"Ampelisca venetiensis","Shoemaker, 1916",,,58672
AMPELISCIDAE,"Byblis barbarensis","J. L. Barnard, 1960",,,58696
AMPELISCIDAE,"Byblis bathyalis","J. L. Barnard, 1966",,,50376
AMPELISCIDAE,"Byblis crassicornis","Metzger, 1875",,,58689
AMPELISCIDAE,"Byblis gaimardi","(Krøyer, 1846)",,,58690
AMPELISCIDAE,"Byblis millsi","Dickinson, 1983",,,58697
AMPELISCIDAE,"Byblis orientalis","J.L. Barnard, 1967",,,240488
AMPELISCIDAE,"Byblis tannerensis","J. L. Barnard, 1966",,,50382
AMPELISCIDAE,"Byblis veleronis","J. L. Barnard, 1954",,,58694
AMPELISCIDAE,"Haploops lodo","J. L. Barnard, 1961",,,50385
AMPELISCIDAE,"Haploops tubicola","Lilljeborg, 1855",,,58702
AMPHARETIDAE,"Amage anops",,,,86902
AMPHARETIDAE,"Amage arieticornuta",,,,86908
AMPHARETIDAE,"Amage perfecta",,,,86903
AMPHARETIDAE,"Amage scutata",,,,86906
AMPHARETIDAE,"Ampharete acutifrons","(Grube, 1860)",,,86916
AMPHARETIDAE,"Ampharete arctica",Malmgren,,,86909
