	Dataset	level	iteration	Method	Parameters	match_ratio	overclassification_ratio	underclassification_ratio	misclassification_ratio	mismatch_level_list	Precision	Recall	F-measure
82	MetaCurator_MiFish	4	2	naive-bayes	0.001:[7,7]	0.15005436752446538	0.35737586081913736	0.3664371148967017	0.12613265675969554	[0, 28, 294, 1037, 1400, 0, 0, 0]	0.23684210526315788	0.15005436752446538	0.18371422232083426
83	MetaCurator_MiFish	4	3	naive-bayes	0.001:[7,7]	0.1823124320405944	0.30844508880029	0.387459224356651	0.12178325480246466	[0, 25, 286, 1094, 1354, 0, 0, 0]	0.29763313609467457	0.1823124320405944	0.22611822881546415
84	MetaCurator_MiFish	4	4	naive-bayes	0.001:[7,7]	0.14513788098693758	0.3515965166908563	0.38171262699564584	0.12155297532656023	[0, 31, 286, 1070, 1369, 0, 0, 0]	0.2347417840375587	0.14513788098693758	0.17937219730941703
85	MetaCurator_MiFish	4	5	naive-bayes	0.001:[7,7]	0.14648295866569977	0.3604060913705584	0.3825235678027556	0.11058738216098622	[0, 32, 284, 1044, 1398, 0, 0, 0]	0.2372284204345273	0.14648295866569977	0.18112530822685496
86	MetaCurator_MiFish	4	6	naive-bayes	0.001:[7,7]	0.12808417997097243	0.340711175616836	0.40493468795355586	0.1262699564586357	[0, 22, 347, 1095, 1292, 0, 0, 0]	0.2152439024390244	0.12808417997097243	0.16060054595086445
87	MetaCurator_MiFish	4	7	naive-bayes	0.001:[7,7]	0.17397607828923523	0.31533164189923885	0.3646248640811888	0.14606741573033707	[0, 38, 332, 1039, 1350, 0, 0, 0]	0.2738163148887621	0.17397607828923523	0.2127659574468085
88	MetaCurator_MiFish	4	8	naive-bayes	0.001:[7,7]	0.16751269035532995	0.31725888324873097	0.369108049311095	0.1461203770848441	[0, 33, 327, 1061, 1337, 0, 0, 0]	0.2655172413793103	0.16751269035532995	0.20542463317029788
89	MetaCurator_MiFish	4	9	naive-bayes	0.001:[7,7]	0.14482758620689656	0.35535390199637024	0.3782214156079855	0.12159709618874773	[0, 39, 284, 1054, 1378, 0, 0, 0]	0.2329246935201401	0.14482758620689656	0.17860340196956134
90	rCRUX_12S	6	0	naive-bayes	0.001:[7,7]	0.24909150974562272	0.43970928311859925	0.17013544763792535	0.14106375949785266	[32, 1, 13, 72, 119, 737, 2053, 0]	0.3001592356687898	0.24909150974562272	0.27225130890052357
91	rCRUX_12S	6	1	naive-bayes	0.001:[7,7]	0.263573543928924	0.43863112866074366	0.163211582757486	0.13458374465284634	[1, 1, 14, 116, 145, 657, 2105, 0]	0.3149823043649233	0.263573543928924	0.28699390899319244
92	rCRUX_12S	6	2	naive-bayes	0.001:[7,7]	0.24866310160427807	0.4445187165775401	0.1657754010695187	0.1410427807486631	[33, 1, 14, 78, 129, 692, 2045, 0]	0.2980769230769231	0.24866310160427807	0.2711370262390671
93	rCRUX_12S	6	3	naive-bayes	0.001:[7,7]	0.2619605219136835	0.4309133489461358	0.1716293074606892	0.13549682167949148	[29, 2, 18, 75, 122, 702, 2041, 0]	0.31623586429725364	0.2619605219136835	0.2865507776761208
94	rCRUX_12S	6	4	naive-bayes	0.001:[7,7]	0.246	0.459	0.16766666666666666	0.12733333333333333	[34, 2, 12, 89, 109, 664, 2090, 0]	0.29555466559871846	0.246	0.26851009641622703
95	rCRUX_12S	6	5	naive-bayes	0.001:[7,7]	0.26064178127046495	0.4472822527832351	0.15717092337917485	0.13490504256712507	[30, 4, 11, 78, 121, 677, 2133, 0]	0.30924630924630925	0.26064178127046495	0.2828713574982231
96	rCRUX_12S	6	6	naive-bayes	0.001:[7,7]	0.2622459180273242	0.44485171609463514	0.16061312895701432	0.13228923692102632	[31, 3, 14, 71, 146, 648, 2088, 0]	0.31242556570067487	0.2622459180273242	0.28514492753623183
97	rCRUX_12S	6	7	naive-bayes	0.001:[7,7]	0.25980066445182726	0.445514950166113	0.1644518272425249	0.13023255813953488	[1, 4, 12, 92, 109, 695, 2097, 0]	0.310934393638171	0.25980066445182726	0.2830769230769231
98	rCRUX_12S	6	8	naive-bayes	0.001:[7,7]	0.25486959392538794	0.44139980191482336	0.16342027071640805	0.14031033344338065	[33, 1, 14, 80, 129, 689, 2083, 0]	0.30465666929755325	0.25486959392538794	0.27754808556534244
99	rCRUX_12S	6	9	naive-bayes	0.001:[7,7]	0.24810042946812025	0.4552362074661381	0.170796167822927	0.12586719524281467	[30, 2, 18, 100, 118, 658, 2101, 0]	0.29920318725099604	0.24810042946812025	0.27126602853530796
100	rCRUX_12S	5	0	naive-bayes	0.001:[7,7]	0.0051876716509002135	0.042722001830942935	0.5273115654562099	0.4247787610619469	[2, 850, 295, 1653, 321, 156, 0, 0]	0.010974822466107165	0.0051876716509002135	0.007045171985080812
101	rCRUX_12S	5	1	naive-bayes	0.001:[7,7]	0.0030422878004259203	0.04259202920596288	0.5004563431700639	0.4539093398235473	[1, 686, 423, 1684, 345, 148, 0, 0]	0.0060901339829476245	0.0030422878004259203	0.004057618178129438
102	rCRUX_12S	5	2	naive-bayes	0.001:[7,7]	0.2680916030534351	0.3706870229007634	0.25679389312977097	0.10442748091603053	[43, 6, 90, 377, 672, 2087, 0, 0]	0.3607230895645029	0.2680916030534351	0.30758451567700124
103	rCRUX_12S	5	3	naive-bayes	0.001:[7,7]	0.27522935779816515	0.37033639143730884	0.2706422018348624	0.0837920489296636	[38, 6, 84, 373, 666, 2103, 0, 0]	0.37735849056603776	0.27522935779816515	0.31830238726790455
104	rCRUX_12S	5	4	naive-bayes	0.001:[7,7]	0.004884004884004884	0.03418803418803419	0.4517704517704518	0.5091575091575091	[1, 675, 466, 1678, 330, 126, 0, 0]	0.008908685968819599	0.004884004884004884	0.006309148264984227
105	rCRUX_12S	5	5	naive-bayes	0.001:[7,7]	0.003045994517209869	0.038988729820286325	0.49923850137069753	0.45872677429180625	[0, 836, 295, 1749, 268, 135, 0, 0]	0.006082725060827251	0.003045994517209869	0.004059265272985589
106	rCRUX_12S	5	6	naive-bayes	0.001:[7,7]	0.25396341463414634	0.37865853658536586	0.27225609756097563	0.0951219512195122	[32, 13, 89, 379, 697, 2070, 0, 0]	0.3489736070381232	0.25396341463414634	0.29398270689959416
107	rCRUX_12S	5	7	naive-bayes	0.001:[7,7]	0.004570383912248629	0.037781840341255334	0.44149908592321757	0.5161486898232784	[1, 644, 498, 1664, 338, 137, 0, 0]	0.008183306055646482	0.004570383912248629	0.0058651026392961885
108	rCRUX_12S	5	8	naive-bayes	0.001:[7,7]	0.006103143118706134	0.032651815685077815	0.4913030210558438	0.4699420201403723	[1, 805, 317, 1745, 284, 125, 0, 0]	0.01199760047990402	0.006103143118706134	0.008090614886731391
109	rCRUX_12S	5	9	naive-bayes	0.001:[7,7]	0.005190839694656489	0.03419847328244275	0.5151145038167939	0.44549618320610684	[2, 700, 477, 1708, 263, 125, 0, 0]	0.010705289672544081	0.005190839694656489	0.006991568990335184
110	rCRUX_12S	4	0	naive-bayes	0.001:[7,7]	0.011825348696179502	0.017889630078835657	0.5657974530018193	0.40448756822316556	[3, 1830, 487, 903, 75, 0, 0, 0]	0.02723463687150838	0.011825348696179502	0.01649048625792812
