"OR941613.1_representative_of_53_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"MH253117.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"KF383314.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"LC661533.1_representative_of_18_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"MT117770.1_representative_of_27_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"MK602872.1_representative_of_4_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;NA;NA"
"FM986624.1_representative_of_7_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"OL664572.1_representative_of_3_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Lysmata;NA"
"OL664571.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Lysmata;NA"
"MK000271.1_representative_of_3_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Pandalidae;Heterocarpus;NA"
"AY612877.1_representative_of_11_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Pandalidae;NA;NA"
